nome,populacao
Quinta do Sol,4508
Quitandinha,19221
Ramilândia,4476
Rancho Alegre,3784
Rancho Alegre D'Oeste,2628
Realeza,16950
Rebouças,14946
Renascença,6787
Reserva,26825
Reserva do Iguaçu,8069
Ribeirão Claro,10645
Ribeirão do Pinhal,12948
Rio Azul,15336
Rio Bom,3182
Rio Bonito do Iguaçu,13255
Rio Branco do Ivaí,4109
Rio Branco do Sul,32517
Rio Negro,34411
Rolândia,67383
Roncador,9645
Rondon,9622
Rosário do Ivaí,4689
Sabáudia,6891
Salgado Filho,3483
Salto do Itararé,4898
Salto do Lontra,14872
Santa Amélia,3266
Santa Cecília do Pavão,3293
Santa Cruz de Monte Castelo,7751
Santa Fé,12186
Santa Helena,26767
Santa Inês,1594
Santa Isabel do Ivaí,8523
Santa Izabel do Oeste,14794
Santa Lúcia,3793
Santa Maria do Oeste,9410
Santa Mariana,11622
Santa Mônica,4017
Santa Tereza do Oeste,10096
Santa Terezinha de Itaipu,23699
Santana do Itararé,4954
Santo Antônio da Platina,46251
Santo Antônio do Caiuá,2626
Santo Antônio do Paraíso,2068
Santo Antônio do Sudoeste,20261
Santo Inácio,5416
São Carlos do Ivaí,6920
São Jerônimo da Serra,11128
São João,10181
São João do Caiuá,5837
São João do Ivaí,10056
São João do Triunfo,15241
São Jorge do Ivaí,5543
São Jorge do Patrocínio,5586
São Jorge d'Oeste,9028
São José da Boa Vista,6160
São José das Palmeiras,3627
São José dos Pinhais,329058
São Manoel do Paraná,2163
São Mateus do Sul,46705
São Miguel do Iguaçu,27576
São Pedro do Iguaçu,5820
São Pedro do Ivaí,11046
São Pedro do Paraná,2289
São Sebastião da Amoreira,8859
São Tomé,5750
Sapopema,6722
Sarandi,97803
Saudade do Iguaçu,5539
Sengés,19385
Serranópolis do Iguaçu,4477
Sertaneja,5216
Sertanópolis,16413
Siqueira Campos,21249
Sulina,2930
Tamarana,15040
Tamboara,5158
Tapejara,16345
Tapira,5495
Teixeira Soares,12567
Telêmaco Borba,79792
Terra Boa,17200
Terra Rica,16924
Terra Roxa,17522
Tibagi,20607
Tijucas do Sul,17084
Toledo,142645
Tomazina,7807
Três Barras do Paraná,12038
Tunas do Paraná,9022
Tuneiras do Oeste,8533
Tupãssi,8109
Turvo,13095
Ubiratã,20909
Umuarama,112500
União da Vitória,57913
Uniflor,2614
Uraí,11273
Ventania,12088
Vera Cruz do Oeste,8454
Verê,7174
Virmond,4022
Vitorino,6859
Wenceslau Braz,19386
Xambrê,5630
